Сегмент;Приор;Компания;Страна;Что делает;Сайт;Email;Телефон;Статус;Дата;Ответ/КП
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;Jiangsu Longda Superalloy Co., Ltd. (江苏隆达超合金股份有限公司, SSE 688231);Китай;Не изготовитель деталей, а поставщик СЫРЬЯ для локализации: вакуумно-выплавленные никелевые жаропрочные мастер-сплавы и полуфабрикаты, из ко;https://www.wxlongda.com;;;;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;Haynes International, Inc.;США;Первоисточник марок HASTELLOY X (N06002) и HAYNES 230 (N06230) — именно тех листовых сплавов, из которых сваривают жаровые трубы (combustion;https://haynesintl.com;;"+1 765-456-6012; +1 800-354-0806 (sales)";;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;Rolled Alloys, Inc.;США;Складской поставщик Alloy X (Hastelloy X) и Alloy 230 (Haynes 230) в листе и плите, у которого в карточках товара применения указаны прямо: ;https://www.rolledalloys.com;"onlinesales@rolledalloys.com; help-tech@rolledalloys.com (металлургическая техподдержка)";"+1 800-521-0332; местный +1 419-330-8555";;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;Special Metals Corporation / Special Metals Wiggin Ltd (группа PCC);США / Великобритания;"Владелец и первоисточник марки NIMONIC 263 — сплава, специально созданного как ЛИСТОВОЙ материал для сварных камер сгорания газовых турбин; ";https://www.specialmetals.com;;"+1 304 526-5100; +1 800 334-4626 (Huntington, WV); +44 (0)1432 382200 (Wiggin, Hereford)";;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);;Nippon Yakin Kogyo Co., Ltd. (日本冶金工業);Япония;Японский источник листа-аналога Hastelloy X: марка NASHX соответствует UNS N06002. В линейке жаропрочных также NASH38X (N08120), NAS600 (N06;https://www.nyk.co.jp/en/;не найдено (только веб-форма запроса);+81-3-3272-1511 (факс +81-3-3272-1800);;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;★;BHEL-GE Gas Turbine Services Pvt. Ltd. (BGGTS);Индия;Крупнейший в Индии цех ремонта горячей части ГТУ. Прямо заявленные компетенции: ремонт камер сгорания — жаровые трубы (combustion liners), T;https://www.bggts.com;Devashish.Sarmacharjee@gevernova.com;"+91 40 40640159; +91 9000553827; завод +91 40 30854111";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;★;BVPL Turbine Parts (Bangalore Vishwakarma / BVPL);Индия;Серийно изготавливает горячую часть промышленных ГТУ: бандажные кольца/обоймы (industrial gas turbine shrouds), сегменты бандажа (shroud sho;https://bvplturbineparts.com;"bvpl@bvplturbineparts.com; thanmai@bvplturbineparts.com";"+91 80 4117 1206; +91 73495 36275";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;★;Mishra Dhatu Nigam Limited (MIDHANI);Индия;Наиболее реалистичный неевропейский источник самого листа под локализацию: MIDHANI серийно катает аналоги Hastelloy X и Nimonic 263 под собс;https://midhani-india.in;mktg@midhani-india.in;"+91-40-24184000; бизнес-запросы +91-40-24184547 / +91-40-2956 8519";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;★;江苏图南合金股份有限公司 (Jiangsu Toland Alloy Co., Ltd.);Китай;Производит литейные жаропрочные сплавы (铸造高温合金) и изделия из них, а также деформируемые жаропрочные сплавы и спецнержавейку. Литейные жаропр;https://www.toland-alloy.com/;toland@toland-alloy.com;+86-511-86165566 (факс +86-511-86165938);;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;★;TFS Turbine Field Solutions S.A. de C.V. (TFS Corp);Мексика;Ключевой игрок сегмента. На сайте в перечне обслуживаемых машин прямо указаны Siemens SGT-300 и SGT-400, плюс Solar Saturn 20 / Centaur 40 /;https://www.tfscorp.com.mx/;comercial@tfscorp.com.mx;"+52 229 989 3793; филиал Колумбия: +57 601 426 2000";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Turbine Group S.A.;Аргентина;Профильный независимый сервис ГТУ и ПТ с 1995 г. в нефтегазовом центре Аргентины (Вака-Муэрта). Заявляют прямо по горячей части: 'Inspección;https://www.turbinegroup.com.ar/;info@turbinegroup.com.ar;"+54 299 430 6857 (офис); +54 299 442 9077 (цех); WhatsApp +54 9 297 247 4765";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;TEMISA (Turbinas y Máquinas Industriales);Аргентина;Единственная найденная в Аргентине компания, которая ПРЯМО перечисляет Ruston в списке поддерживаемых производителей турбин — а Ruston это п;http://www.temisa.com.ar/;;;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Multiflow Indústria e Comércio (MPI Technology);Бразилия;23 года на рынке, позиционируются как 'референс в Бразилии по ремонту газовых турбин'. В описании работ прямо фигурирует секция камеры сгора;https://www.multiflow.com.br/reparo-turbina-gas;multiflow@multiflow.com.br;+55 16 3797-7502;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;"TurboPre Services, C.A. (+ TurboPre Services S. de R.L. de C.V., Мексика; TurboPre Corporation, Панама)";Венесуэла (штаб) / Мексика / Панама;"Опыт с 1973 г.; один из основных подрядчиков по ремонту, обслуживанию и специализированной техподдержке ГАЗОВЫХ турбин мощностью до 180 МВт ";https://turbopreservices.com/;ventas@turbopreservices.com;+58 261 817 0100;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;EMC — Egyptian Maintenance Company (for Petroleum Services);Египет;Крупнейший египетский независимый подрядчик по обслуживанию нефтегазового и энергетического оборудования (осн. 1997): сервис турбин и вращаю;https://www.emceg.com/;business.development@emceg.com;+20 2 2618 9999;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Mestek India;Индия;Специализированный поставщик ЗИП именно для промышленных ГТУ, тяжёлых и лёгких. Каталог включает компоненты камеры сгорания: cross fire tube;https://mestekindia.com;"enquiries@mestekindia.com; sanjay@mestekindia.com; kapil@mestekindia.com; raghav@mestekindia.com";+91 11 45531065 / 45531075;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Modus Turbo Machineering Pvt. Ltd. (MTMPL);Индия;Независимый подрядчик по ремонту, поставке сменных деталей и полному капремонту/обслуживанию промышленных ГТУ — как heavy duty, так и LIGHT ;https://www.mtmpl.com;не найдено (на сайте только форма);+91 80476 34635 (номер маршрутизации IndiaMART);;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;ТОО «Alash Energy Solutions» (Alensol);Казахстан;"На сайте прямо фигурируют модели SGT-400, SGT-100, SGT-200 и компоненты — камеры сгорания и горелки; заявлен опыт ТО и инспекций турбин SGT-";https://alensol.kz;too.alensol@gmail.com;+7 (701) 520-08-90;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Turbomáquinas, S.A. de C.V.;Мексика;Изготовление компонентов турбин и компрессоров по реверс-инжинирингу с химическим анализом материала — то есть способны воспроизвести деталь;https://turbomaquinas.com/;ventas@turbomaquinas.com;"+52 352 522 0820; 1-800-7135-300";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Sanad Powertech (ранее Turbine Services & Solutions Industrial, TS&S);ОАЭ;Крупнейший в регионе независимый MRO по промышленным ГТУ и вращающемуся оборудованию для нефтегаза и энергетики UAE/MENA. Услуги: MRO, ремон;https://www.sanad.ae/;;;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Technoparts LLC (Technoparts Hardware LLC);ОАЭ;Специализация прямо заявлена по трём OEM: General Electric, Siemens, Ruston (Ruston — прямой предок линейки SGT-400/Cyclone). Номенклатура: ;https://www.technopartsllc.com/;"tpl@technopartsllc.com; Sales@technopartsllc.com; Hassan@technopartsllc.com";"+971 2 550 1052; хотлайн +971 50 137 7131";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Wirturbo;ОАЭ;Заявленная мощность по капремонту ГТУ прямо включает SGT-100, SGT-200, SGT-300, SGT-400, SGT-600, SGT-800, а также Rustons, Centaur, T60, RR;https://wirturbo.com/;;"+971 54 796 8268; +971 4 828 2255";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;KAFOU Technical Services Co. Ltd (KTS);Саудовская Аравия;Единственный найденный саудовский независимый сервис с собственной мастерской (500 м², Khudariah, Даммам), который прямо заявляет инспекцию ;https://www.ktsco.com.sa/;info@ktsco.com.sa;+966 13 882 5067;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Matrix TurboGen Pte. Ltd.;Сингапур;Поставка компонентов горячей и холодной части ГТУ: «blades, vanes, liner, and hot-gas casings», а также «Combustion Chambers, Vanes and Blad;https://matrixturbogen.com/;Contact@MatrixTurboGen.com (адрес восстановлен из Cloudflare-обфускации на страницах сайта);+65 8606 2175;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;EGAT Diamond Service Co., Ltd. (EDS);Таиланд;Специализированный цех ремонта и восстановления деталей горячего тракта ГТУ: combustor basket (жаровая труба/корзина камеры сгорания), trans;https://www.egatdiamond.co.th/;egatdiamondservice@egatdiamond.co.th;+66 2-529-0800;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;BNC Enerji San. ve Tic. Ltd. Şti.;Турция;Из всех найденных турецких сервисов наиболее детально описывает работы именно по камере сгорания: визуальная инспекция и обслуживание камер ;https://www.bncenerji.com/hizmetlerimiz/gaz-turbini-generator-bakimi/;"info@bncenerji.com; cemalbinici@bncenerji.com";+90 533 545 1922;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Türbin Bakım San. Ltd. Şti.;Турция;Профильный турецкий сервис по ремонту газовых турбин и компрессоров. Инженерная поддержка прямо по Ruston TA и TB — то есть по рустоновскому;https://turbinbakim.com/;Bulent@turbinbakim.com;+90 212 283 0600;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;•;Gas Turbines Services del Ecuador S.A. (TURBIECSA);Эквадор;Независимая компания (с 2019 г. в текущем составе), акционеры и руководство — выходцы из эксплуатации и обслуживания электростанций, переори;https://turbiecsa.com/;;;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;ASH Precision Engineering Ltd;Великобритания;Заявленное покрытие ровно по нашей линейке: Siemens SGT-100, SGT-200, SGT-400, SGT-500, SGT-600, SGT-800 и Ruston TA, TB, TD. Делают afterma;https://www.ashprecision.co.uk;"sales@ashprecision.co.uk; eng@ashprecision.co.uk";+44 7717 077441;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;Turbinetech GmbH;Германия;Делает «equivalent parts» (неоригинальные аналоги) для горячей части ГТУ: combustion liners, transition pieces, hot gas path components. В м;https://turbinetech.de;info@turbinetech.de;+49 2157 1265132;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;GT S.r.l. (Gabriele Tuzi);Италия;Заявленная номенклатура прямо покрывает горячую часть: combustion liners, transition pieces, combustion chambers, seal rings, FLAME TUBES (ж;https://www.gabrieletuzi.com;"request@gabrieletuzi.com; engineering@gabrieletuzi.com";+39 339 831 9822;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;PowerTech (Turbine Parts) B.V.;Нидерланды;Специализация именно на малых/средних промышленных ГТУ Siemens. По SGT-600 заявляют ПОЛНУЮ номенклатуру, включая камеры сгорания (combustion;https://powertechnl.com;info@powertechnl.com;+31 6 53 35 78 87;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;Industrial Turbine Services s.r.l. (ITS Parts);Румыния;Явно заявляет линейку Siemens/Ruston: TA Series, TB Series, TYPHOON (SGT-100), TORNADO (SGT-200), TEMPEST, CYCLONE (SGT-400) — то есть ровно;https://www.its-parts.com;sales@its-parts.com;+40 721 696 626 (также WhatsApp);;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;Advanced Turbine Solutions, LLC (ATS);США;Ремонт, изготовление и поставка деталей промышленных ГТУ. На складе и в производстве: топливные форсунки (Fuel Nozzles), transition pieces (;https://atshouston.com;не найдено (только форма на /contact-us-2/);+1 (281) 452-2441;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;Allied Power Group, LLC (APG);США;Один из немногих независимых от OEM игроков, кто НЕ ремонтирует, а именно ИЗГОТАВЛИВАЕТ новые листовые детали камеры сгорания — combustion l;https://alliedpg.com;sales@alliedpg.com;+1 281-444-3535;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;GLM Energy Systems, LLC;США;Полный капремонт и обмен по линейке Ruston, предшественнику SGT-100/200: TB5000, TA1750, Tornado — «full gas generator and PT rebuilds», re-;https://www.glmenergyllc.com;contacts@glmenergyllc.com;"+1 907-283-7556; бесплатный +1 866-247-1061";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;J. F. Mullen Co., Inc. (James F. Mullen Company);США;Профильный контрактный изготовитель именно тех типов деталей, что нужны по SGT-400: на сайте отдельные разделы каталога «COMBUSTION LINERS» ;https://www.jfmullen.com;"rich@jfmullen.net (продажи); john@jfmullen.net (производство); B.Payne@jfmullen.net (качество)";"+1 978-346-0045; моб. +1 (508) 789-9791";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;MD&A — Mechanical Dynamics & Analysis, LLC (MD&A Turbines);США;Позиционируется как «full-service OEM-alternative» по газовым турбинам. Каталог комбустионных деталей включает end caps, combustion liners, ;https://www.mdaturbines.com;Info@MDAturbines.com;"+1 (518) 399-3616; факс +1 (518) 399-3929";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;Turbine Services, Ltd. (TSL) — ВНИМАНИЕ: с мая 2025 в составе EthosEnergy;США;Пионер рынка non-OEM ЗИП для ГТУ с 1972 г., крупнейший в США полнономенклатурный поставщик деталей к турбинам GE. В каталоге по Westinghouse;https://www.turbineservices.com;sales@turbineservices.com;+1 518.583.6191;;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;Patented Systems, Inc. (PSI);США (полевые работы по Латинской Америке: Аргентина, Эквадор, Мексика, Венесуэла);Самый прямой попадающий в линейку производитель aftermarket-деталей для Ruston Gas Turbines — прямых предков SGT-100/200/300/400. Специализа;https://patented-systems.com/;"psi@patented-systems.com; info@patented-systems.com";+1 281 352 8588 (факс +1 501 694 3080);;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;Barnes Aerospace (подразделение Barnes Group Inc.);США / Великобритания / Польша / Сингапур;Профильная компетенция — «complex fabrications», то есть именно сварные листовые узлы горячего тракта, причём площадка Lansing прямо заявлен;https://barnesaero.com;не найдено (только веб-форма);"+1 860 583 7070 (HQ Windsor CT); +1 517 393 5110 (Lansing MI); +1 801 917 2000 (Ogden UT)";;;
СЕГМЕНТ 5 — Независимые OEM-альтернативы и MRO горячего тракта;;RTP POWER SE;Чехия;Прямое попадание по линейке: заявляет поставку ЗИП для Siemens SGT-100, SGT-200, SGT-300, SGT-400 и «Ruston-designed turbines», а также West;https://rtppower.com;sales@rtppower.com;;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);★;MSR Industrade Pvt. Ltd. (MSRI Trade);Индия;Прямое попадание в линейку. Официально заявляет поставку ЗИП для SGT-100/200/300/400 (бывш. Ruston Typhoon, Tornado, Tempest, Cyclone). По S;https://msritrade.com;"rvp@msritrade.com; venkateshprasad.raahul@gmail.com";"+91 120 4102955; +91 120 4125991; +91 9971889552";;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);★;ANATCO LLC;ОАЭ;Прямо заявляет поставку ЗИП по всей линейке Siemens: SGT-100, SGT-200, SGT-300, SGT-400 (13 МВт), SGT-500, SGT-600, SGT-700, SGT-750, SGT-80;https://www.anatco.ae/gas.php;salesdxb@anatco.ae;+971 4 3455799;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);★;International Energy Resources FZCO (IER);ОАЭ;Независимый aftermarket-поставщик запчастей, core engines и модулей ГТУ. Прямо заявлена специализация по light industrial и aeroderivative Г;https://ierfzco.com/;sales@ierfzco.com;+971 4 883 0770;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);★;USP&E Global (US Power & Environment);ЮАР / США / ОАЭ;Держит инвентарь б/у газовых турбин, где прямо указаны Siemens SGT-300, SGT-400, SGT-600 наряду с GE LM2500/TM2500/Frame 5-9. Есть отдельная;https://uspeglobal.com (альт. домен https://newgasturbines.com);"info@uspeglobal.com; общая почта info@uspowerco.com";"+27 10 822 2324; +1 612-803-8112";;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;Laujir India LLP;Индия;Заявляет поставку деталей камеры сгорания (combustion system parts), лопаток компрессора и турбины, СОПЛОВЫХ АППАРАТОВ и направляющих лопато;https://www.laujirindia.in;не найдено (только онлайн-форма запроса);+91 8088144983 (WhatsApp);;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;Precision Asset Solutions Pvt. Ltd. (PASPL);Индия;Заявляет поставку по всей Индии компонентов горячей части и камеры сгорания для Siemens и GE: жаровые трубы (combustion liners), transition ;https://precisionasset.in;info@precisionasset.in;"+91 96674 22319; +91 124 4506567";;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;Grupo ATM / Andina Turbomecánica (ATM Gas Natural S.A.S., Andina Turbomecánica SpA);Колумбия (+ Чили);Поставка запчастей и сервис для газовых турбин: основная специализация — GE FR3/FR5/FR6/FR9, PGT5, PGT10 в открытом и комбинированном цикле,;https://www.andinatm.com/;info@australtm.com;;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;TurboCORE Dynamics Sdn. Bhd.;Малайзия;"Заявленный портфель по ГТУ: ремонт компонентов, восстановление горячей секции (hot section refurbishments) и торговля запчастями; плюс компр";http://turbocoredynamics.com/;sales@turbocoredynamics.com;+60 3-7733 4921;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;EnergyZone FZCO;ОАЭ;Торгует новыми, неиспользованными, б-у и восстановленными пакетами ГТУ, двигателями и капитальными частями. В каталоге Siemens явно выделена;https://www.energyzonefzco.com/;;;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;Unisys Middle East & Africa FZE (Unisys Group);ОАЭ;"Поставляют горячую часть ГТУ: turbine blades, turbine nozzles, combustion liners, transition pieces, fuel nozzles, turbine seals; предлагают";https://unisysgroup.ae/gas-turbine-trading-and-services;sales@unisysgroup.ae;+971 6 8814801;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;ReflowX;ОАЭ;Маркетплейс излишков и нового оборудования энергетического сектора: газовые турбины, генераторы, котлы, трубная продукция, арматура. В листи;https://www.reflowx.com;info@reflowx.com;"+971 50 955 8356 (WhatsApp); +971 50 384 6311";;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;ADN Global (ADN Limited Şirketi);Турция;"В разделе «Gas Turbines Spare Parts» прямо указаны Siemens Energy SGT-400 (12,9 МВт), SGT-300 (7,9–9,1 МВт) и SGT-500 (быв. GT35); заявлены ";https://www.adn-global.com;"info@adn-global.com; Дубай: sales@tradeglobal.ea";"+90 232 400 15 15; Баку +994 50 572 44 94; Дубай +971 54 237 3138";;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);•;FLOWDY (플로디);Южная Корея;Специалист по не-OEM лопаткам и вейнам ГТУ и ПТ через реверс-инжиниринг: изготавливают компрессорные лопатки и вейны (W501D5, GE 7EA/7FA/7FA;http://flowdy.co.kr/;flowdy7@gmail.com;+82-10-4943-6805;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);;Gas Turbine Resources S.L. (GTR);Испания / Великобритания;Специализация прямо по линейке: «Specializing in Gas Turbine Engine, SGT200, TB5000/5400». Есть Gas Turbine Lease Engine Fleet — «engine mod;https://gasturbineresources.com;sales@gasturbineresources.com;"+34 931 352 544; +34 620 194 730; UK +44 7743 885 068";;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);;Industrial Marine Power (IMP);США;Живая доска объявлений, где реально ходят запросы и предложения ровно по нашей теме: заявка на 17 позиций ЗИП Siemens SGT-400, включая burne;https://www.industrialmarinepower.com;;+1 954 933 8501;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);;FOQ Inventory (Free Oilfield Quote);США;Площадка излишков с конкретными лотами SGT-400: «SGT-400 Industrial Gas Turbine with Power Generation» — 2013 г.в., ~11 000 моточасов, s/n M;https://inventory.freeoilfieldquote.com;не найдено (адрес скрыт защитой Cloudflare email-protection);+1 844-475-2060;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);;Resource Management Associates Inc. (RMA) — площадки PowerPlantsOnline.com и UtilityWarehouse.com;США;"Брокер комплектных станций и турбоагрегатов; в перечне предлагаемого оборудования прямо указаны Siemens SGT-600, SGT-400, SGT-300 (рядом с G";https://powerplantsonline.com (каталог станций также на https://www.utilitywarehouse.com/info1/powerplantc.html);"milt@rmaglobal.com; sales@rmaglobal.com; lane@rmaglobal.com";"+1 503-351-9898 (Milt Fyre); +1 503-803-2029 (Lane Kadel)";;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);;Salvex Group, Inc.;США;Крупнейшая мировая площадка излишков и активов после вывода/остановки объектов. Через неё реально проходили лоты по SGT-400: лот «Siemens SG;https://www.salvex.com;sales@salvex.com;+1 713-229-9000;;;
СЕГМЕНТ 6 — Трейдеры, брокеры и каналы завоза (ОАЭ/Турция/Казахстан, б/у);;Kitmondo (группа Exapro);Чехия;Международная площадка б/у оборудования с реальными лотами по линейке SGT: на момент проверки размещено «SIEMENS SGT400 gas turbine, Low wor;https://www.kitmondo.com;не найдено (только форма обратной связи на /contact-kitmondo/);;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;•;СП ООО «Сервисный Центр UNGM-DR»;Узбекистан;Совместное предприятие с собственной ремонтной базой: комплексное ТО и ремонт компрессорного, насосного и турбинного оборудования, изготовле;http://www.ungm-dr.uz;info@ungm-dr.uz;"+998 (70) 183-23-63; +998 (77) 079-39-08; +998 (77) 079-39-03";;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «АМКОР ГМБХ» (AMCOR);Россия;Прямо заявляет работу по линейке Siemens SGT, включая капремонт SGT-400 и сервис горячей части SGT-600 (осмотр жаровых труб, сопловых аппара;https://amcor.ru (раздел amcor.ru/siemens-4);info@amcor.ru;+7 (800) 551-28-44;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «ГЭХ Сервис газовых турбин» (ГЭХ СГТ);Россия;"Инжиниринговая компания по сервису ГТУ; на сайте заявлен «заводской ремонт компонентов газовых турбин» и позиционирование как замена ушедших";https://www.geh-sgt.ru;office@geh-sgt.ru;+7 (495) 510-43-57;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «Газ Турбайн Сервисез» (Gas Turbine Services);Россия;Обслуживает малую линейку Siemens — на сайте названы SGT-100 и SGT-200 (родственные SGT-400 по конструктиву Ruston/Alstom), а также GE и Sol;https://gtservices.ru;info@gtservices.ru;+7 (912) 790-27-16;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «МС Системы Энергетика» (MC Energy);Россия;На сайте прямо перечислена вся линейка Siemens SGT-100 / 200 / 300 / 400 / 600 / 800 как обслуживаемое оборудование, плюс GE (LM1600/2500/60;https://mcenergy.ru;;+7 (499) 500-27-43, +7 (499) 500-27-45, +7 (499) 500-27-47;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «Производственное предприятие Турбинаспецсервис» (Turbinaspetsservice);Россия;Профильный ремонтник горячей части ГТД: на сайте отдельные разделы «Ремонт лопаток газовых турбин» и «Ремонт элементов камеры сгорания», а т;https://turbinass.ru;info@turbinass.ru;+7 (347) 292-76-18;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «СТС» — «Сахалин Турбина Сервис»;Россия;Реальный опыт по линейке SGT: на сайте указано обслуживание ГТУ SGT-600 (для «Газпром трансгаз Ухта» и Росатома), капремонты GE MS5001PA, ра;http://www.turbineservice.ru;office@turbineservice.ru;8-800-250-89-44;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «Современные технологии газовых турбин» (СТГТ, бывш. «Сименс Технологии Газовых Турбин»);Россия;"Бывший завод Siemens в России, выкуплен ПАО «Интер РАО» в 2022 г. Сохранил производство и сервис газовых турбин; в описании — производство к";https://mgtt.ru;contact@mgtt.ru;+7 (812) 643-73-00;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «Технологические системы защитных покрытий» (ТСЗП / TSPC);Россия;Профильный подрядчик по покрытиям деталей горячего тракта: термобарьерные покрытия (TBC), плазменное напыление APS, лазерная наплавка, полны;https://www.tspc.ru;info@tspc.ru;+7 (495) 136-41-41;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;ООО «УК «КЭР-Холдинг» (KER-Holding, бренд KR Gas Turbine);Россия;Специализация — ремонт и обслуживание ГТУ мощностью ДО 50 МВт ведущих мировых производителей, в т.ч. Siemens Energy, Solar, GE, MAN. SGT-400;https://krgasturbine.ru;office@ker-holding.ru;+7 (843) 572-09-99;;;
СЕГМЕНТ 7 — РФ/СНГ: сервис, покрытия, реверс-инжиниринг;;Завод «Турбодеталь» (в составе АО «Газэнергосервис», Газпром энергохолдинг);Россия;Единственный найденный в РФ профильный производитель именно номенклатуры горячей части: в перечне продукции завода — камеры сгорания, жаровы;https://www.turbonara.ru (завод) / https://www.gesturbo.ru (АО «Газэнергосервис»);"turbo@turbonara.ru; adm@gesturbo.ru";"+7 (4832) 66-82-02 (завод); +7 (495) 259-06-10 (АО «Газэнергосервис», Москва)";;;
